id;fecha;valor;fecha_pago
1;2020-04-28T08:13:33;66735;2020-04-27T12:51:00
2;2020-04-27T14:09:26;25896;2020-04-28T02:15:22
3;2020-04-27T19:53:45;17222;2020-04-27T23:07:34
4;2020-04-27T19:38:53;97186;2020-04-28T00:09:48
5;2020-04-27T14:22:31;26606;2020-04-27T21:52:29
6;2020-04-28T00:45:47;87056;2020-04-28T00:50:04
7;2020-04-28T00:28:43;23235;2020-04-27T14:04:03
8;2020-04-28T05:12:48;11237;2020-04-27T19:48:03
9;2020-04-27T16:50:28;67822;2020-04-27T14:00:26
10;2020-04-28T05:27:59;99908;2020-04-27T10:16:47
